# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999862,-0.000000,-0.000000,0.003142,-0.003853,0.000662,0.000605,-0.000183,1.260120,0.000000,-0.000000,72.299771,-134.563227,102.134028,-35.569172,4.700306
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999830,0.001564,0.001619,-0.006822,0.002597,0.002874,-0.002163,0.000393,20.147786,8.752531,-2.991893,22.259182,-37.907817,28.403816,-9.932461,1.324616
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000211,-0.000178,-0.002316,0.002721,0.000484,-0.001504,0.000544,-0.000053,40.029138,9.545774,-0.567804,7.740466,-15.362085,12.771067,-4.849310,0.692756
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999970,-0.001060,0.000023,0.003593,-0.001441,-0.002384,0.001821,-0.000344,59.970867,9.545800,0.567709,7.740038,-21.073676,20.480501,-8.611506,1.324514
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999833,0.000755,0.002029,-0.004670,-0.000630,0.004923,-0.002855,0.000495,79.852221,8.752655,2.991787,22.257593,-68.708809,70.126490,-30.233900,4.700135
